Instrument,Constituent RIC,Constituent Name,Date,Index
.BFX,SOLB.BR,SOLVAY ORD,2019-12-31,.BFX
.BFX,ACKB.BR,ACKERMANS V.HAAR ORD,2019-12-31,.BFX
.BFX,ARGX.BR,ARGEN X NV,2019-12-31,.BFX
.BFX,PROX.BR,PROXIMUS,2019-12-31,.BFX
.BFX,INGA.AS,ING GROEP ORD,2019-12-31,.BFX
.BFX,ONTEX.BR,ONTEX GRP NV,2019-12-31,.BFX
.BFX,APAM.AS,APERAM ORD,2019-12-31,.BFX
.BFX,TNET.BR^J23,TELENET GRP HLDG ORD,2019-12-31,.BFX
.BFX,WDPP.BR,WDP-SICAFI REIT,2019-12-31,.BFX
.BFX,GBLB.BR,GROUPE BRUXELLES LAMBERT ORD,2019-12-31,.BFX
.BFX,AGES.BR,AGEAS(EX-FORTIS) ORD,2019-12-31,.BFX
.BFX,COFB.BR,COFINIMMO,2019-12-31,.BFX
.BFX,GLPG.AS,GALAPAGOS ORD,2019-12-31,.BFX
.BFX,UMI.BR,UMICORE ORD,2019-12-31,.BFX
.BFX,ABI.BR,ANHEUSER-BUSCH INBEV SA/NV ORD,2019-12-31,.BFX
.BFX,COLR.BR,ETABLISSEMENTS COLRUYT ORD,2019-12-31,.BFX
.BFX,SOF.BR,SOFINA ORD,2019-12-31,.BFX
.BFX,KBC.BR,KBC GROEP ORD,2019-12-31,.BFX
.BFX,UCB.BR,UCB ORD,2019-12-31,.BFX
.BFX,BAR.BR,BARCO ORD,2019-12-31,.BFX
.BFX,SOLB.BR,SOLVAY ORD,2020-12-31,.BFX
.BFX,ACKB.BR,ACKERMANS V.HAAR ORD,2020-12-31,.BFX
.BFX,ARGX.BR,ARGEN X NV,2020-12-31,.BFX
.BFX,PROX.BR,PROXIMUS,2020-12-31,.BFX
.BFX,INGA.AS,ING GROEP ORD,2020-12-31,.BFX
.BFX,APAM.AS,APERAM ORD,2020-12-31,.BFX
.BFX,TNET.BR^J23,TELENET GRP HLDG ORD,2020-12-31,.BFX
.BFX,WDPP.BR,WDP-SICAFI REIT,2020-12-31,.BFX
.BFX,AOO.BR,AEDIFICA SA,2020-12-31,.BFX
.BFX,GBLB.BR,GROUPE BRUXELLES LAMBERT ORD,2020-12-31,.BFX
.BFX,AGES.BR,AGEAS(EX-FORTIS) ORD,2020-12-31,.BFX
.BFX,COFB.BR,COFINIMMO,2020-12-31,.BFX
.BFX,GLPG.AS,GALAPAGOS ORD,2020-12-31,.BFX
.BFX,UMI.BR,UMICORE ORD,2020-12-31,.BFX
.BFX,ABI.BR,ANHEUSER-BUSCH INBEV SA/NV ORD,2020-12-31,.BFX
.BFX,COLR.BR,ETABLISSEMENTS COLRUYT ORD,2020-12-31,.BFX
.BFX,SOF.BR,SOFINA ORD,2020-12-31,.BFX
.BFX,KBC.BR,KBC GROEP ORD,2020-12-31,.BFX
.BFX,UCB.BR,UCB ORD,2020-12-31,.BFX
.BFX,BAR.BR,BARCO ORD,2020-12-31,.BFX
.BFX,SOLB.BR,SOLVAY ORD,2021-12-31,.BFX
.BFX,ACKB.BR,ACKERMANS V.HAAR ORD,2021-12-31,.BFX
.BFX,ARGX.BR,ARGEN X NV,2021-12-31,.BFX
.BFX,PROX.BR,PROXIMUS,2021-12-31,.BFX
.BFX,APAM.AS,APERAM ORD,2021-12-31,.BFX
.BFX,TNET.BR^J23,TELENET GRP HLDG ORD,2021-12-31,.BFX
.BFX,ELI.BR,ELIA SYSTEM OPERATOR ORD,2021-12-31,.BFX
.BFX,WDPP.BR,WDP-SICAFI REIT,2021-12-31,.BFX
.BFX,AOO.BR,AEDIFICA SA,2021-12-31,.BFX
.BFX,MLXS.BR,MELEXIS ORD,2021-12-31,.BFX
.BFX,GBLB.BR,GROUPE BRUXELLES LAMBERT ORD,2021-12-31,.BFX
.BFX,AGES.BR,AGEAS(EX-FORTIS) ORD,2021-12-31,.BFX
.BFX,COFB.BR,COFINIMMO,2021-12-31,.BFX
.BFX,GLPG.AS,GALAPAGOS ORD,2021-12-31,.BFX
.BFX,UMI.BR,UMICORE ORD,2021-12-31,.BFX
.BFX,ABI.BR,ANHEUSER-BUSCH INBEV SA/NV ORD,2021-12-31,.BFX
.BFX,COLR.BR,ETABLISSEMENTS COLRUYT ORD,2021-12-31,.BFX
.BFX,SOF.BR,SOFINA ORD,2021-12-31,.BFX
.BFX,KBC.BR,KBC GROEP ORD,2021-12-31,.BFX
.BFX,UCB.BR,UCB ORD,2021-12-31,.BFX
.BFX,SOLB.BR,SOLVAY ORD,2022-12-31,.BFX
.BFX,ACKB.BR,ACKERMANS V.HAAR ORD,2022-12-31,.BFX
.BFX,ARGX.BR,ARGEN X NV,2022-12-31,.BFX
.BFX,PROX.BR,PROXIMUS,2022-12-31,.BFX
.BFX,APAM.AS,APERAM ORD,2022-12-31,.BFX
.BFX,ELI.BR,ELIA SYSTEM OPERATOR ORD,2022-12-31,.BFX
.BFX,WDPP.BR,WDP-SICAFI REIT,2022-12-31,.BFX
.BFX,AOO.BR,AEDIFICA SA,2022-12-31,.BFX
.BFX,GBLB.BR,GROUPE BRUXELLES LAMBERT ORD,2022-12-31,.BFX
.BFX,AGES.BR,AGEAS(EX-FORTIS) ORD,2022-12-31,.BFX
.BFX,IETB.BR,D'IETEREN ORD,2022-12-31,.BFX
.BFX,COFB.BR,COFINIMMO,2022-12-31,.BFX
.BFX,GLPG.AS,GALAPAGOS ORD,2022-12-31,.BFX
.BFX,UMI.BR,UMICORE ORD,2022-12-31,.BFX
.BFX,VGP1.BR,VGP ORD,2022-12-31,.BFX
.BFX,ABI.BR,ANHEUSER-BUSCH INBEV SA/NV ORD,2022-12-31,.BFX
.BFX,COLR.BR,ETABLISSEMENTS COLRUYT ORD,2022-12-31,.BFX
.BFX,SOF.BR,SOFINA ORD,2022-12-31,.BFX
.BFX,KBC.BR,KBC GROEP ORD,2022-12-31,.BFX
.BFX,UCB.BR,UCB ORD,2022-12-31,.BFX
.BFX,SOLB.BR,SOLVAY ORD,2023-12-31,.BFX
.BFX,ACKB.BR,ACKERMANS V.HAAR ORD,2023-12-31,.BFX
.BFX,SYENS.BR,SYENSQO ORD SHS,2023-12-31,.BFX
.BFX,ARGX.BR,ARGEN X NV,2023-12-31,.BFX
.BFX,PROX.BR,PROXIMUS,2023-12-31,.BFX
.BFX,APAM.AS,APERAM ORD,2023-12-31,.BFX
.BFX,ELI.BR,ELIA SYSTEM OPERATOR ORD,2023-12-31,.BFX
.BFX,WDPP.BR,WDP-SICAFI REIT,2023-12-31,.BFX
.BFX,AOO.BR,AEDIFICA SA,2023-12-31,.BFX
.BFX,MLXS.BR,MELEXIS ORD,2023-12-31,.BFX
.BFX,GBLB.BR,GROUPE BRUXELLES LAMBERT ORD,2023-12-31,.BFX
.BFX,AGES.BR,AGEAS(EX-FORTIS) ORD,2023-12-31,.BFX
.BFX,IETB.BR,D'IETEREN ORD,2023-12-31,.BFX
.BFX,COFB.BR,COFINIMMO,2023-12-31,.BFX
.BFX,GLPG.AS,GALAPAGOS ORD,2023-12-31,.BFX
.BFX,UMI.BR,UMICORE ORD,2023-12-31,.BFX
.BFX,ABI.BR,ANHEUSER-BUSCH INBEV SA/NV ORD,2023-12-31,.BFX
.BFX,SOF.BR,SOFINA ORD,2023-12-31,.BFX
.BFX,KBC.BR,KBC GROEP ORD,2023-12-31,.BFX
.BFX,UCB.BR,UCB ORD,2023-12-31,.BFX
.BFX,SOLB.BR,SOLVAY ORD,2024-12-31,.BFX
.BFX,ACKB.BR,ACKERMANS V.HAAR ORD,2024-12-31,.BFX
.BFX,SYENS.BR,SYENSQO ORD SHS,2024-12-31,.BFX
.BFX,ARGX.BR,ARGEN X NV,2024-12-31,.BFX
.BFX,ELI.BR,ELIA SYSTEM OPERATOR ORD,2024-12-31,.BFX
.BFX,WDPP.BR,WDP-SICAFI REIT,2024-12-31,.BFX
.BFX,AOO.BR,AEDIFICA SA,2024-12-31,.BFX
.BFX,MLXS.BR,MELEXIS ORD,2024-12-31,.BFX
.BFX,GBLB.BR,GROUPE BRUXELLES LAMBERT ORD,2024-12-31,.BFX
.BFX,AGES.BR,AGEAS(EX-FORTIS) ORD,2024-12-31,.BFX
.BFX,IETB.BR,D'IETEREN ORD,2024-12-31,.BFX
.BFX,COFB.BR,COFINIMMO,2024-12-31,.BFX
.BFX,GLPG.AS,GALAPAGOS ORD,2024-12-31,.BFX
.BFX,UMI.BR,UMICORE ORD,2024-12-31,.BFX
.BFX,AZE.BR,AZELIS CORPORATE SERVICES NV ORD,2024-12-31,.BFX
.BFX,LOTB.BR,LOTUS BAKERIES ORD,2024-12-31,.BFX
.BFX,ABI.BR,ANHEUSER-BUSCH INBEV SA/NV ORD,2024-12-31,.BFX
.BFX,SOF.BR,SOFINA ORD,2024-12-31,.BFX
.BFX,KBC.BR,KBC GROEP ORD,2024-12-31,.BFX
.BFX,UCB.BR,UCB ORD,2024-12-31,.BFX
.OMXC20,GMAB.CO,GENMAB ORD,2019-12-31,.OMXC20 
.OMXC20,MAERSKb.CO,MOELLER MAERSK B ORD,2019-12-31,.OMXC20 
.OMXC20,SIM.CO^J23,SIMCORP ORD,2019-12-31,.OMXC20 
.OMXC20,VWS.CO,VESTAS WIND SYSTEMS ORD,2019-12-31,.OMXC20 
.OMXC20,NSISb.CO,NOVOZYMES ORD,2019-12-31,.OMXC20 
.OMXC20,RBREW.CO,ROYAL UNIBREW ORD,2019-12-31,.OMXC20 
.OMXC20,NOVOb.CO,NOVO-NORDISK ORD,2019-12-31,.OMXC20 
.OMXC20,ORSTED.CO,ORSTED ORD,2019-12-31,.OMXC20 
.OMXC20,DANSKE.CO,DANSKE BANK ORD,2019-12-31,.OMXC20 
.OMXC20,CHRH.CO^A24,CHRISTIAN HANSEN HOLDING ORD,2019-12-31,.OMXC20 
.OMXC20,GN.CO,GN STORE NORD ORD,2019-12-31,.OMXC20 
.OMXC20,DEMANT.CO,DEMANT ORD,2019-12-31,.OMXC20 
