,RIC,ISIN Code,TRBC Industry Group Name
0,SOLB.BR,BE0003470755,Chemicals
1,ACKB.BR,BE0003764785,Construction & Engineering
2,ARGX.BR,NL0010832176,Biotechnology & Medical Research
3,PROX.BR,BE0003810273,Telecommunications Services
4,INGA.AS,NL0011821202,Banking Services
5,ONTEX.BR,BE0974276082,Personal & Household Products & Services
6,APAM.AS,LU0569974404,Metals & Mining
7,TNET.BR^J23,BE0003826436,Telecommunications Services
8,WDPP.BR,BE0974349814,Residential & Commercial REITs
9,GBLB.BR,BE0003797140,Investment Holding Companies
10,AGES.BR,BE0974264930,Insurance
11,COFB.BR,BE0003593044,Residential & Commercial REITs
12,GLPG.AS,BE0003818359,Biotechnology & Medical Research
13,UMI.BR,BE0974320526,Chemicals
14,ABI.BR,BE0974293251,Beverages
15,COLR.BR,BE0974256852,Food & Drug Retailing
16,SOF.BR,BE0003717312,Investment Holding Companies
17,KBC.BR,BE0003565737,Banking Services
18,UCB.BR,BE0003739530,Pharmaceuticals
19,BAR.BR,BE0974362940,Electronic Equipment & Parts
20,AOO.BR,BE0003851681,Residential & Commercial REITs
21,ELI.BR,BE0003822393,Electric Utilities & IPPs
22,MLXS.BR,BE0165385973,Semiconductors & Semiconductor Equipment
23,IETB.BR,BE0974259880,Specialty Retailers
24,VGP1.BR,BE0003878957,Real Estate Operations
25,SYENS.BR,BE0974464977,Chemicals
26,SOLB.BR,BE0003470755,Chemicals
27,ACKB.BR,BE0003764785,Construction & Engineering
28,SYENS.BR,BE0974464977,Chemicals
29,ARGX.BR,NL0010832176,Biotechnology & Medical Research
30,ELI.BR,BE0003822393,Electric Utilities & IPPs
31,WDPP.BR,BE0974349814,Residential & Commercial REITs
32,AOO.BR,BE0003851681,Residential & Commercial REITs
33,MLXS.BR,BE0165385973,Semiconductors & Semiconductor Equipment
34,GBLB.BR,BE0003797140,Investment Holding Companies
35,AGES.BR,BE0974264930,Insurance
36,IETB.BR,BE0974259880,Specialty Retailers
37,COFB.BR,BE0003593044,Residential & Commercial REITs
38,GLPG.AS,BE0003818359,Biotechnology & Medical Research
39,UMI.BR,BE0974320526,Chemicals
40,AZE.BR,BE0974400328,Diversified Industrial Goods Wholesale
41,LOTB.BR,BE0003604155,Food & Tobacco
42,ABI.BR,BE0974293251,Beverages
43,SOF.BR,BE0003717312,Investment Holding Companies
44,KBC.BR,BE0003565737,Banking Services
45,UCB.BR,BE0003739530,Pharmaceuticals
46,GMAB.CO,DK0010272202,Biotechnology & Medical Research
47,MAERSKb.CO,DK0010244508,Freight & Logistics Services
48,SIM.CO^J23,DK0060495240,Financial Technology (Fintech) & Infrastructure
49,VWS.CO,DK0061539921,Renewable Energy
50,NSISb.CO,DK0060336014,Chemicals
51,RBREW.CO,DK0060634707,Beverages
52,NOVOb.CO,DK0062498333,Pharmaceuticals
53,ORSTED.CO,DK0060094928,Electric Utilities & IPPs
54,DANSKE.CO,DK0010274414,Banking Services
55,CHRH.CO^A24,DK0060227585,Food & Tobacco
56,GN.CO,DK0010272632,"Computers, Phones & Household Electronics"
57,DEMANT.CO,DK0060738599,Healthcare Equipment & Supplies
58,AMBUb.CO,DK0060946788,Healthcare Equipment & Supplies
59,ISS.CO,DK0060542181,Professional & Commercial Services
60,TRYG.CO,DK0060636678,Insurance
61,LUN.CO^F22,DK0010287234,Pharmaceuticals
62,DSV.CO,DK0060079531,Freight & Logistics Services
63,CARLb.CO,DK0010181759,Beverages
64,PNDORA.CO,DK0060252690,Textiles & Apparel
65,COLOb.CO,DK0060448595,Healthcare Equipment & Supplies
66,ROCKb.CO,DK0063855168,Construction Materials
67,MAERSKa.CO,DK0010244425,Freight & Logistics Services
68,NETCG.CO,DK0060952919,Software & IT Services
69,BAVA.CO,DK0015998017,Pharmaceuticals
70,JYSK.CO,DK0010307958,Banking Services
71,MAERSKa.CO,DK0010244425,Freight & Logistics Services
72,GMAB.CO,DK0010272202,Biotechnology & Medical Research
73,MAERSKb.CO,DK0010244508,Freight & Logistics Services
74,VWS.CO,DK0061539921,Renewable Energy
75,NSISb.CO,DK0060336014,Chemicals
76,JYSK.CO,DK0010307958,Banking Services
77,NOVOb.CO,DK0062498333,Pharmaceuticals
78,ORSTED.CO,DK0060094928,Electric Utilities & IPPs
79,DANSKE.CO,DK0010274414,Banking Services
80,CHRH.CO^A24,DK0060227585,Food & Tobacco
81,GN.CO,DK0010272632,"Computers, Phones & Household Electronics"
82,DEMANT.CO,DK0060738599,Healthcare Equipment & Supplies
83,AMBUb.CO,DK0060946788,Healthcare Equipment & Supplies
84,ISS.CO,DK0060542181,Professional & Commercial Services
85,ROCKb.CO,DK0063855168,Construction Materials
86,TRYG.CO,DK0060636678,Insurance
87,DSV.CO,DK0060079531,Freight & Logistics Services
88,CARLb.CO,DK0010181759,Beverages
89,PNDORA.CO,DK0060252690,Textiles & Apparel
90,COLOb.CO,DK0060448595,Healthcare Equipment & Supplies
91,NKT.CO,DK0010287663,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
92,ZELA.CO,DK0060257814,Biotechnology & Medical Research
93,OUT1V.HE,FI0009002422,Metals & Mining
94,TYRES.HE,FI0009005318,Automobiles & Auto Parts
95,VALMT.HE,FI4000074984,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
96,METSB.HE,FI0009000665,Containers & Packaging
97,KNEBV.HE,FI0009013403,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
98,HIAB.HE,FI4000571013,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
99,TELIA1.HE,SE0000667925,Telecommunications Services
100,KEMIRA.HE,FI0009004824,Chemicals
101,ORNBV.HE,FI0009014377,Pharmaceuticals
102,NESTE.HE,FI0009013296,Oil & Gas
103,METSO.HE,FI0009014575,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
104,STERV.HE,FI0009005961,Containers & Packaging
105,SAMPO.HE,FI4000552500,Insurance
106,NOKIA.HE,FI0009000681,Communications & Networking
107,FORTUM.HE,FI0009007132,Electric Utilities & IPPs
108,WRT1V.HE,FI0009003727,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
109,NELES.HE^D22,FI4000440664,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
110,NDAFI.HE,FI4000297767,Banking Services
111,ELISA.HE,FI0009007884,Telecommunications Services
112,UPM.HE,FI0009005987,Paper & Forest Products
113,TIETO.HE,FI0009000277,Software & IT Services
114,KCRA.HE,FI0009005870,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
115,HUH1V.HE,FI0009000459,Containers & Packaging
116,KESKOB.HE,FI0009000202,Food & Drug Retailing
117,KOJAMO.HE,FI4000312251,Real Estate Operations
118,METSO.HE,FI0009014575,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
119,QTCOM.HE,FI4000198031,Software & IT Services
120,STERV.HE,FI0009005961,Containers & Packaging
121,SAMPO.HE,FI4000552500,Insurance
122,NOKIA.HE,FI0009000681,Communications & Networking
123,FORTUM.HE,FI0009007132,Electric Utilities & IPPs
124,WRT1V.HE,FI0009003727,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
125,NDAFI.HE,FI4000297767,Banking Services
126,ELISA.HE,FI0009007884,Telecommunications Services
127,UPM.HE,FI0009005987,Paper & Forest Products
128,TIETO.HE,FI0009000277,Software & IT Services
129,KCRA.HE,FI0009005870,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
130,HUH1V.HE,FI0009000459,Containers & Packaging
131,KESKOB.HE,FI0009000202,Food & Drug Retailing
132,OUT1V.HE,FI0009002422,Metals & Mining
133,TYRES.HE,FI0009005318,Automobiles & Auto Parts
134,TOKMAN.HE,FI4000197934,Diversified Retail
135,VALMT.HE,FI4000074984,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
136,KNEBV.HE,FI0009013403,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
137,HIAB.HE,FI4000571013,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
138,TELIA1.HE,SE0000667925,Telecommunications Services
139,KOJAMO.HE,FI4000312251,Real Estate Operations
140,ORNBV.HE,FI0009014377,Pharmaceuticals
141,NESTE.HE,FI0009013296,Oil & Gas
142,SSABBH.HE,SE0000120669,Metals & Mining
143,METSB.HE,FI0009000665,Containers & Packaging
144,MANTA.HE,FI4000552526,Insurance
145,KEMIRA.HE,FI0009004824,Chemicals
146,TRIA.PA,FR0005691656,Leisure Products
147,CVO.PA,FR0000064578,Residential & Commercial REITs
148,RXL.PA,FR0010451203,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
149,EMEIS.PA,FR001400NLM4,Healthcare Providers & Services
150,SEVI.PA^B22,FR0010613471,Professional & Commercial Services
151,SGEF.PA,FR0000125486,Construction & Engineering
152,INGC.PA^K20,FR0000125346,Professional & Commercial Services
153,NEXS.PA,FR0000044448,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
154,APAM.AS,LU0569974404,Metals & Mining
155,LTEN.PA,FR0000071946,Software & IT Services
156,VIV.PA,FR0000127771,Media & Publishing
157,IPN.PA,FR0010259150,Pharmaceuticals
158,SOIT.PA,FR0013227113,Semiconductors & Semiconductor Equipment
159,STDM.PA,FR0013154002,Healthcare Equipment & Supplies
160,BOLL.PA,FR0000039299,Media & Publishing
161,EDEN.PA,FR0010908533,Professional & Commercial Services
162,BNPP.PA,FR0000131104,Banking Services
163,HRMS.PA,FR0000052292,Textiles & Apparel
164,COFA.PA,FR0010667147,Insurance
165,DANO.PA,FR0000120644,Food & Tobacco
