RIC,Date,Name,ISIN Code,TRBC Industry Group Name
SOLB.BR,2019-12-31,SOLVAY ORD,BE0003470755,Chemicals
ACKB.BR,2019-12-31,ACKERMANS V.HAAR ORD,BE0003764785,Construction & Engineering
ARGX.BR,2019-12-31,ARGEN X NV,NL0010832176,Biotechnology & Medical Research
PROX.BR,2019-12-31,PROXIMUS,BE0003810273,Telecommunications Services
INGA.AS,2019-12-31,ING GROEP ORD,NL0011821202,Banking Services
ONTEX.BR,2019-12-31,ONTEX GRP NV,BE0974276082,Personal & Household Products & Services
APAM.AS,2019-12-31,APERAM ORD,LU0569974404,Metals & Mining
TNET.BR^J23,2019-12-31,TELENET GRP HLDG ORD,BE0003826436,Telecommunications Services
WDPP.BR,2019-12-31,WDP-SICAFI REIT,BE0974349814,Residential & Commercial REITs
GBLB.BR,2019-12-31,GROUPE BRUXELLES LAMBERT ORD,BE0003797140,Investment Holding Companies
AGES.BR,2019-12-31,AGEAS(EX-FORTIS) ORD,BE0974264930,Insurance
COFB.BR,2019-12-31,COFINIMMO,BE0003593044,Residential & Commercial REITs
GLPG.AS,2019-12-31,GALAPAGOS ORD,BE0003818359,Biotechnology & Medical Research
UMI.BR,2019-12-31,UMICORE ORD,BE0974320526,Chemicals
ABI.BR,2019-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD,BE0974293251,Beverages
COLR.BR,2019-12-31,ETABLISSEMENTS COLRUYT ORD,BE0974256852,Food & Drug Retailing
SOF.BR,2019-12-31,SOFINA ORD,BE0003717312,Investment Holding Companies
KBC.BR,2019-12-31,KBC GROEP ORD,BE0003565737,Banking Services
UCB.BR,2019-12-31,UCB ORD,BE0003739530,Pharmaceuticals
BAR.BR,2019-12-31,BARCO ORD,BE0974362940,Electronic Equipment & Parts
SOLB.BR,2020-12-31,SOLVAY ORD,BE0003470755,Chemicals
ACKB.BR,2020-12-31,ACKERMANS V.HAAR ORD,BE0003764785,Construction & Engineering
ARGX.BR,2020-12-31,ARGEN X NV,NL0010832176,Biotechnology & Medical Research
PROX.BR,2020-12-31,PROXIMUS,BE0003810273,Telecommunications Services
INGA.AS,2020-12-31,ING GROEP ORD,NL0011821202,Banking Services
APAM.AS,2020-12-31,APERAM ORD,LU0569974404,Metals & Mining
TNET.BR^J23,2020-12-31,TELENET GRP HLDG ORD,BE0003826436,Telecommunications Services
WDPP.BR,2020-12-31,WDP-SICAFI REIT,BE0974349814,Residential & Commercial REITs
AOO.BR,2020-12-31,AEDIFICA SA,BE0003851681,Residential & Commercial REITs
GBLB.BR,2020-12-31,GROUPE BRUXELLES LAMBERT ORD,BE0003797140,Investment Holding Companies
AGES.BR,2020-12-31,AGEAS(EX-FORTIS) ORD,BE0974264930,Insurance
COFB.BR,2020-12-31,COFINIMMO,BE0003593044,Residential & Commercial REITs
