RIC,Date,Name
SOLB.BR,2019-12-31,SOLVAY ORD
ACKB.BR,2019-12-31,ACKERMANS V.HAAR ORD
ARGX.BR,2019-12-31,ARGEN X NV
PROX.BR,2019-12-31,PROXIMUS
INGA.AS,2019-12-31,ING GROEP ORD
ONTEX.BR,2019-12-31,ONTEX GRP NV
APAM.AS,2019-12-31,APERAM ORD
TNET.BR^J23,2019-12-31,TELENET GRP HLDG ORD
WDPP.BR,2019-12-31,WDP-SICAFI REIT
GBLB.BR,2019-12-31,GROUPE BRUXELLES LAMBERT ORD
AGES.BR,2019-12-31,AGEAS(EX-FORTIS) ORD
COFB.BR,2019-12-31,COFINIMMO
GLPG.AS,2019-12-31,GALAPAGOS ORD
UMI.BR,2019-12-31,UMICORE ORD
ABI.BR,2019-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD
COLR.BR,2019-12-31,ETABLISSEMENTS COLRUYT ORD
SOF.BR,2019-12-31,SOFINA ORD
KBC.BR,2019-12-31,KBC GROEP ORD
UCB.BR,2019-12-31,UCB ORD
BAR.BR,2019-12-31,BARCO ORD
SOLB.BR,2020-12-31,SOLVAY ORD
ACKB.BR,2020-12-31,ACKERMANS V.HAAR ORD
ARGX.BR,2020-12-31,ARGEN X NV
PROX.BR,2020-12-31,PROXIMUS
INGA.AS,2020-12-31,ING GROEP ORD
APAM.AS,2020-12-31,APERAM ORD
TNET.BR^J23,2020-12-31,TELENET GRP HLDG ORD
WDPP.BR,2020-12-31,WDP-SICAFI REIT
AOO.BR,2020-12-31,AEDIFICA SA
GBLB.BR,2020-12-31,GROUPE BRUXELLES LAMBERT ORD
AGES.BR,2020-12-31,AGEAS(EX-FORTIS) ORD
COFB.BR,2020-12-31,COFINIMMO
GLPG.AS,2020-12-31,GALAPAGOS ORD
UMI.BR,2020-12-31,UMICORE ORD
ABI.BR,2020-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD
COLR.BR,2020-12-31,ETABLISSEMENTS COLRUYT ORD
SOF.BR,2020-12-31,SOFINA ORD
KBC.BR,2020-12-31,KBC GROEP ORD
UCB.BR,2020-12-31,UCB ORD
BAR.BR,2020-12-31,BARCO ORD
SOLB.BR,2021-12-31,SOLVAY ORD
ACKB.BR,2021-12-31,ACKERMANS V.HAAR ORD
ARGX.BR,2021-12-31,ARGEN X NV
PROX.BR,2021-12-31,PROXIMUS
APAM.AS,2021-12-31,APERAM ORD
TNET.BR^J23,2021-12-31,TELENET GRP HLDG ORD
ELI.BR,2021-12-31,ELIA SYSTEM OPERATOR ORD
WDPP.BR,2021-12-31,WDP-SICAFI REIT
AOO.BR,2021-12-31,AEDIFICA SA
MLXS.BR,2021-12-31,MELEXIS ORD
GBLB.BR,2021-12-31,GROUPE BRUXELLES LAMBERT ORD
AGES.BR,2021-12-31,AGEAS(EX-FORTIS) ORD
