date,log_price_A,log_price_B,price_A,price_B,returns_A,returns_B,flow_A,flow_B,flow_pct_A,flow_pct_B,flow_diff,flow_diff_pct,volume_A,volume_B,adv_A,adv_B,symbol_A,symbol_B,sector
2010-01-04,4.246636372564359,4.12535861575127,69.87,61.89,0.030227,0.03305,0.0,0.0,0.0,0.0,0.0,0.0,210200.0,1502100.0,14686674.000000002,92964969.0,VAW,IYM,Materials
2010-01-05,4.252629541187814,4.133885736842633,70.29,62.42,0.006011,0.008564,0.0,0.0,0.0060111635895234,0.00856358054613023,0.0,-0.002552416956606831,114600.0,780900.0,11370954.000000002,70854373.5,VAW,IYM,Materials
2010-01-06,4.266615783162554,4.152456225279317,71.28,63.59,0.014085,0.018744,0.0,0.0,0.014084507042253402,0.018743992310157002,0.0,-0.0046594852679036,123100.0,2007900.0,10505492.000000002,89797036.0,VAW,IYM,Materials
2010-01-07,4.262257252536892,4.146937012341271,70.97,63.24,-0.004349,-0.005504,0.0,0.0,-0.0043490460157126825,-0.005504010064475547,0.0,0.001154964048762864,66900.0,1737700.0,9066092.25,94820814.0,VAW,IYM,Materials
2010-01-08,4.273048472104136,4.160756327741352,71.74,64.12,0.01085,0.013915,0.0,0.0,0.010849654783711311,0.013915243516761681,0.0,-0.0030655887330503697,71500.0,742200.0,8278755.8,85374624.0,VAW,IYM,Materials
2010-01-11,4.269697449699962,4.158101528024852,71.5,63.95,-0.003345,-0.002651,0.0,0.0,-0.0033454139949817643,-0.0026512788521523504,0.0,-0.0006941351428294139,136700.0,3175900.0,8527971.5,104995320.83333333,VAW,IYM,Materials
2010-01-12,4.250065437218876,4.138520924554929,70.11,62.71,-0.019441,-0.01939,0.0,0.0,-0.01944055944055944,-0.019390148553557467,0.0,-5.0410887001972604e-05,111700.0,1663500.0,8428445.142857144,104898572.85714285,VAW,IYM,Materials
2010-01-13,4.259152536523347,4.147885329150131,70.75,63.3,0.009129,0.009408,0.0,0.0,0.009128512337754956,0.009408387816935098,0.0,-0.00027987547918014236,116800.0,976300.0,8407839.5,99511225.0,VAW,IYM,Materials
2010-01-14,4.249780130512233,4.138361447638875,70.09,62.7,-0.009329,-0.009479,0.0,0.0,-0.00932862190812721,-0.009478672985781991,0.0,0.00015005107765478191,80100.0,2933400.0,8097436.111111111,108890442.22222222,VAW,IYM,Materials
2010-01-15,4.240463070352095,4.127618138985026,69.44,62.03,-0.009274,-0.010686,0.0,0.0,-0.009273790840348123,-0.010685805422647528,0.0,0.0014120145822994045,108100.0,753000.0,8038338.9,102672257.0,VAW,IYM,Materials
2010-01-19,4.257454983420831,4.146304301152812,70.63,63.2,0.017137,0.018862,0.0,0.0,0.01713709677419343,0.01886184104465581,0.0,-0.001724744270462382,113000.0,1546200.0,8033143.545454546,102222037.27272727,VAW,IYM,Materials
2010-01-20,4.241900688557399,4.129711706059392,69.5399,62.16,-0.015434,-0.016456,0.0,0.0,-0.015433951578649114,-0.016455696202531647,0.0,0.0010217446238825322,149400.0,2377900.0,8229486.671666667,106021056.16666667,VAW,IYM,Materials
2010-01-21,4.19948805433202,4.082103275799747,66.6522,59.27,-0.041526,-0.046493,0.0,0.0,-0.041525800295945416,-0.046492921492921495,0.0,0.004967121196976079,286400.0,3973200.0,9064848.472307693,115980326.0,VAW,IYM,Materials
2010-01-22,4.176231721694285,4.059407992341204,65.12,57.94,-0.022988,-0.02244,0.0,0.0,-0.022987988393481117,-0.022439682807491142,0.0,-0.0005483055859899742,257900.0,3810300.0,9616962.724285712,123465215.71428572,VAW,IYM,Materials
2010-01-25,4.183880527532955,4.069026754237811,65.62,58.5,0.007678,0.009665,0.0,0.0,0.0076781326781326775,0.009665170866413532,0.0,-0.0019870381882808544,206500.0,1491000.0,9879200.542666668,121049101.33333333,VAW,IYM,Materials
2010-01-26,4.173771695853422,4.0578534536396855,64.96,57.85,-0.010058,-0.011111,0.0,0.0,-0.010057909174032558,-0.011111111111111112,0.0,0.0010532019370785538,149900.0,1913000.0,9870344.50875,120400223.125,VAW,IYM,Materials
