date,log_price_A,log_price_B,price_A,price_B,returns_A,returns_B,flow_A,flow_B,flow_pct_A,flow_pct_B,flow_diff,flow_diff_pct,volume_A,volume_B,adv_A,adv_B,symbol_A,symbol_B,sector
2010-01-04,4.195094465322244,5.126638969852562,66.36,168.45,0.010199,0.011165,0.0,0.0,0.0,0.0,0.0,0.0,84900.0,152500.0,5633964.0,25688625.0,VDC,IYK,Consumer Staples
2010-01-05,4.195998215948601,5.132498881853096,66.42,169.44,0.000904,0.005877,0.0,0.0,0.0009041591320072332,0.005877114870881688,0.0,-0.004972955738874455,72800.0,21900.0,5234670.0,14699680.5,VDC,IYK,Consumer Staples
2010-01-06,4.195847647552622,5.134446346917641,66.41,169.7703,-0.00015,0.001949,0.0,0.0,-0.00015055706112616682,0.0019493626062322947,0.0,-0.0020999196673584615,42700.0,17800.0,4435015.666666667,10807090.78,VDC,IYK,Consumer Staples
2010-01-07,4.195847647552622,5.13603370349059,66.41,170.04,0.0,0.001589,0.0,0.0,0.0,0.0015886170902684393,0.0,-0.0015886170902684393,26000.0,33100.0,3757926.75,9512399.085,VDC,IYK,Consumer Staples
2010-01-08,4.190412030968334,5.132321812352855,66.05,169.41,-0.005421,-0.003705,0.0,0.0,-0.005420870350850776,-0.003705010585744531,0.0,-0.001715859765106245,65800.0,49000.0,3875559.4,9270137.268000001,VDC,IYK,Consumer Staples
2010-01-11,4.193888192558362,5.133737491230239,66.28,169.64999999999998,0.003482,0.001417,0.0,0.0,0.00348221044663134,0.0014166814237647116,0.0,0.0020655290228666283,51500.0,25800.0,3798536.1666666665,8454609.389999999,VDC,IYK,Consumer Staples
2010-01-12,4.198404232146879,5.134797936716678,66.58,169.82999999999998,0.004526,0.001061,0.0,0.0,0.004526252263126132,0.0010610079575596818,0.0,0.00346524430556645,38900.0,21100.0,3625882.714285714,7758724.191428571,VDC,IYK,Consumer Staples
2010-01-13,4.205289456173828,5.1418389797116,67.04,171.03,0.006909,0.007066,0.0,0.0,0.006908981676179033,0.0070658894188307154,0.0,-0.00015690774265168274,66200.0,10400.0,3727403.375,7011222.6674999995,VDC,IYK,Consumer Staples
2010-01-14,4.204692619390966,5.1430660812767455,67.0,171.24,-0.000597,0.001228,0.0,0.0,-0.0005966587112171838,0.0012278547623223997,0.0,-0.0018245134735395835,45300.0,21600.0,3650480.777777778,6643173.926666666,VDC,IYK,Consumer Staples
2010-01-15,4.199004832765533,5.135152934640755,66.62,169.8903,-0.005672,-0.007882,0.0,0.0,-0.005671641791044776,-0.007881920112123336,0.0,0.002210278321078559,37900.0,21400.0,3537922.5,6342421.776,VDC,IYK,Consumer Staples
2010-01-19,4.205289456173828,5.1420143721526355,67.04,171.06,0.006304,0.006885,0.0,0.0,0.006304413089162414,0.006885031105366228,0.0,-0.0005806180162038141,39200.0,22100.0,3455199.3636363638,6109513.069090909,VDC,IYK,Consumer Staples
2010-01-20,4.197803270590331,5.1300170511163365,66.54,169.02,-0.007458,-0.011926,0.0,0.0,-0.007458233890214797,-0.011925640126271366,0.0,0.004467406236056569,28300.0,86700.0,3324189.5833333335,6821556.4799999995,VDC,IYK,Consumer Staples
2010-01-21,4.182202802743785,5.113913643549758,65.51,166.32,-0.015479,-0.015975,0.0,0.0,-0.01547941088067328,-0.015974440894568807,0.0,0.0004950300138955276,35400.0,49500.0,3246871.4615384615,6930116.75076923,VDC,IYK,Consumer Staples
2010-01-22,4.178379291165174,5.104853969335237,65.26,164.82,-0.003816,-0.009019,0.0,0.0,-0.0038162112654556556,-0.009018759018759018,0.0,0.0052025477533033625,151000.0,30000.0,3718827.785714286,6788294.125714285,VDC,IYK,Consumer Staples
2010-01-25,4.180308168269195,5.109031615952449,65.386,165.51,0.001931,0.004186,0.0,0.0,0.0019307385841250383,0.0041863851474335636,0.0,-0.0022556465633085253,56600.0,24000.0,3717629.106666667,6600557.183999999,VDC,IYK,Consumer Staples
2010-01-26,4.178838885198542,5.108124915373513,65.29,165.35999999999999,-0.001468,-0.000906,0.0,0.0,-0.0014682042027345304,-0.0009062896501723171,0.0,-0.0005619145525622133,35200.0,24100.0,3628915.2875,6437095.859999999,VDC,IYK,Consumer Staples
2010-01-27,4.180919732976511,5.111566012674697,65.426,165.93,0.002083,0.003447,0.0,0.0,0.0020830142441415223,0.0034470246734398906,0.0,-0.0013640104292983683,52200.0,16200.0,3616345.988235294,6216564.691764705,VDC,IYK,Consumer Staples
2010-01-28,4.177766170361173,5.10939406611952,65.22,165.57,-0.003149,-0.00217,0.0,0.0,-0.0031485953596429553,-0.0021695895859699874,0.0,-0.000979005773672968,43800.0,76800.0,3574139.8777777776,6577631.986666666,VDC,IYK,Consumer Staples
2010-01-29,4.175309921045206,5.100658796743844,65.06,164.13,-0.002453,-0.008697,6506000.0,-8206500.0,0.00888252348693931,-0.017098098709849796,14712500.0,0.025980622196789108,37400.0,33300.0,3514092.7263157894,6519100.2505263155,VDC,IYK,Consumer Staples
2010-02-01,4.1832707714165025,5.108306321269702,65.58,165.39000000000001,0.007993,0.007677,0.0,0.0,0.007992622194897018,0.007676841528057152,0.0,0.0003157806668398662,36400.0,52500.0,3457743.69,6627293.988,VDC,IYK,Consumer Staples
2010-02-02,4.195847647552622,5.128270763309692,66.41,168.7251,0.012656,0.020165,0.0,0.0,0.012656297651723086,0.020165064393252188,0.0,-0.007508766741529102,41000.0,11700.0,3312185.9899999998,5441566.921499999,VDC,IYK,Consumer Staples
2010-02-03,4.190866129212723,5.12597089277616,66.08,168.33749999999998,-0.004969,-0.002297,0.0,0.0,-0.004969131154946544,-0.002297227857621779,0.0,-0.0026719032973247653,142700.0,27400.0,3541897.9899999998,5486652.496499999,VDC,IYK,Consumer Staples
2010-02-04,4.167130231947748,5.098646171418969,64.53,163.8,-0.023457,-0.026955,0.0,0.0,-0.02345641646489104,-0.026954778347070378,0.0,0.0034983618821793384,51000.0,19700.0,3564664.1399999997,5496899.9295,VDC,IYK,Consumer Staples
2010-02-05,4.166355098198373,5.096262380063693,64.48,163.41,-0.000775,-0.002381,0.0,0.0,-0.0007748334108166745,-0.002380952380952505,0.0,0.0016061189701358307,64800.0,32500.0,3687246.34,5481024.979499999,VDC,IYK,Consumer Staples
2010-02-08,4.163559631243574,5.091477681940357,64.3,162.63,-0.002792,-0.004773,0.0,0.0,-0.002791563275434243,-0.00477326968973747,0.0,0.0019817064143032273,64200.0,22000.0,3676344.84,5244863.479499999,VDC,IYK,Consumer Staples
2010-02-09,4.176692303570854,5.106597988239515,65.15,165.1077,0.013219,0.015235,0.0,0.0,0.013219284603421462,0.015235196458218041,0.0,-0.0020159118547965794,23300.0,50800.0,3581573.59,5445388.5375,VDC,IYK,Consumer Staples
2010-02-10,4.175770927584296,5.105216117075454,65.09,164.87969999999999,-0.000921,-0.001381,0.0,0.0,-0.000920951650038373,-0.0013809168197486876,0.0,0.0004599651697103146,17600.0,33300.0,3509354.69,5540742.5879999995,VDC,IYK,Consumer Staples
2010-02-11,4.184489912073446,5.116162195911138,65.66,166.6944,0.008757,0.011006,0.0,0.0,0.008757105546166846,0.011006206343170327,0.0,-0.002249100797003481,61500.0,35600.0,3489356.79,5748523.02,VDC,IYK,Consumer Staples
2010-02-12,4.181744752502934,5.116615617633488,65.48,166.77,-0.002741,0.000454,0.0,0.0,-0.0027413950654888823,0.0004535245335177449,0.0,-0.0031949195990066273,29200.0,14200.0,3433202.59,5681990.52,VDC,IYK,Consumer Staples
2010-02-16,4.1944915108270395,5.127705186637636,66.32,168.62969999999999,0.012828,0.011151,0.0,0.0,0.012828344532681531,0.011151286202554171,0.0,0.0016770583301273598,45000.0,41000.0,3456177.69,5845898.784,VDC,IYK,Consumer Staples
2010-02-17,4.2017030805426,5.134444579822542,66.8,169.77,0.007238,0.006762,0.0,0.0,0.007237635705669685,0.006762153997783551,0.0,0.0004754817078861341,33700.0,27300.0,3437337.29,5888613.534,VDC,IYK,Consumer Staples
2010-02-18,4.209011637200227,5.142189733836557,67.29,171.09,0.007335,0.007775,0.0,0.0,0.007335329341317366,0.007775225304824053,0.0,-0.00043989596350668767,88900.0,18800.0,3642287.2399999998,5316736.434,VDC,IYK,Consumer Staples
2010-02-19,4.2104966389581255,5.1420143721526355,67.39,171.06,0.001486,-0.000175,0.0,0.0,0.001486104919007282,-0.0001753463089601964,0.0,0.0016614512279674784,32100.0,28500.0,3634495.4899999998,5148854.934,VDC,IYK,Consumer Staples
2010-02-22,4.209160236650682,5.139907629800395,67.3,170.7,-0.001335,-0.002105,0.0,0.0,-0.001335509719542959,-0.002104524728165675,0.0,0.0007690150086227159,120900.0,44800.0,3548610.9899999998,5283992.934,VDC,IYK,Consumer Staples
2010-02-23,4.2034978761186235,5.135504276142125,66.92,169.95,-0.005646,-0.004394,0.0,0.0,-0.005646359583952452,-0.004393673110720563,0.0,-0.0012526864732318888,47700.0,19500.0,3523172.81,5251082.184,VDC,IYK,Consumer Staples
2010-02-24,4.2103482379784065,5.1404347316311005,67.38,170.79,0.006874,0.004943,0.0,0.0,0.006873879258816497,0.004942630185348753,0.0,0.0019312490734677444,24300.0,36100.0,3490129.1100000003,5360099.334000001,VDC,IYK,Consumer Staples
2010-02-25,4.2104966389581255,5.137444140959952,67.39,170.28,0.000148,-0.002986,0.0,0.0,0.00014841199168892847,-0.002986123309327244,0.0,0.003134535301016173,34800.0,38600.0,3436625.85,5554336.434,VDC,IYK,Consumer Staples
2010-02-26,4.205289456173828,5.135327738053574,67.04,169.92000000000002,-0.005194,-0.002114,-6569920.000000001,-50976000.00000001,-0.016147696370781516,-0.053287797473843865,44406080.00000001,0.037140101103062345,25600.0,18900.0,3379605.25,5079122.034,VDC,IYK,Consumer Staples
2010-03-01,4.212097967809888,5.145222129544996,67.498,171.6096,0.006832,0.009944,0.0,0.0,0.006831742243436754,0.00994350282485863,0.0,-0.003111760581421875,51900.0,95000.0,3433100.3600000003,5620991.184,VDC,IYK,Consumer Staples
