date,log_price_A,log_price_B,price_A,price_B,returns_A,returns_B,flow_A,flow_B,flow_pct_A,flow_pct_B,flow_diff,flow_diff_pct,volume_A,volume_B,adv_A,adv_B,symbol_A,symbol_B,sector
2010-01-04,3.3867603338643857,4.65586330030361,29.57,105.2,0.018251,0.015836,0.0,0.0,0.0,0.0,0.0,0.0,224300.0,1161600.0,6632551.0,122200320.0,VFH,IYF,Financials
2010-01-05,3.3978584803966405,4.667017589314171,29.9,106.38,0.01116,0.011217,0.0,0.0,0.011159959418329387,0.011216730038022813,0.0,-5.677061969342617e-05,164400.0,1386600.0,5774055.5,134853414.0,VFH,IYF,Financials
2010-01-06,3.3995293245614584,4.6694586758704535,29.95,106.64,0.001672,0.002444,0.0,0.0,0.0016722408026755853,0.0024440684339161497,0.0,-0.0007718276312405645,171600.0,1707600.0,5562510.333333333,150601764.0,VFH,IYF,Financials
2010-01-07,3.4187098067467865,4.688223741123377,30.53,108.66,0.019366,0.018942,0.0,0.0,0.019365609348914858,0.01894223555888972,0.0,0.0004233737900251368,288300.0,2047200.0,6372332.5,168563511.0,VFH,IYF,Financials
2010-01-08,3.4147715016892732,4.684720464746101,30.41,108.28,-0.003931,-0.003497,0.0,0.0,-0.003930560104814936,-0.0034971470642370696,0.0,-0.00043341304057786627,140200.0,1480600.0,5950562.4,166914682.4,VFH,IYF,Financials
2010-01-11,3.4145051064591323,4.684905154006945,30.4019,108.3,-0.000266,0.000185,0.0,0.0,-0.00026635975008216454,0.0001847063169560399,0.0,-0.00045106606703820444,158800.0,2016400.0,5763438.953333333,175491588.66666666,VFH,IYF,Financials
2010-01-12,3.402196881995239,4.671145174911624,30.03,106.82,-0.012233,-0.013666,0.0,0.0,-0.012232788082323847,-0.013665743305632617,0.0,0.0014329552233087704,123700.0,1846000.0,5470763.531428571,178591321.7142857,VFH,IYF,Financials
2010-01-13,3.4114776910697118,4.68268662841592,30.31,108.06,0.009324,0.011608,0.0,0.0,0.009324009324009324,0.011608313049990757,0.0,-0.0022843037259814326,526800.0,2100600.0,6782831.59,184641261.0,VFH,IYF,Financials
2010-01-14,3.418054498728578,4.687487228477305,30.51,108.58,0.006599,0.004812,0.0,0.0,0.006598482349059716,0.004812141402924301,0.0,0.0017863409461354148,147800.0,1277900.0,6530225.635555555,179542718.8888889,VFH,IYF,Financials
2010-01-15,3.4005304926744517,4.670583324536324,29.98,106.76,-0.017371,-0.016762,0.0,0.0,-0.017371353654539495,-0.016761834592005895,0.0,-0.0006095190625335992,353700.0,2058600.0,6937595.672,183566060.6,VFH,IYF,Financials
2010-01-19,3.4124669739203863,4.682501528924415,30.34,108.04,0.012008,0.01199,0.0,0.0,0.01200800533689126,0.011989509179468082,0.0,1.849615742317845e-05,265000.0,1855000.0,7037823.338181818,185097709.63636363,VFH,IYF,Financials
2010-01-20,3.41213732170049,4.680463170023523,30.33,107.82,-0.00033,-0.002036,0.0,0.0,-0.0003295978905735003,-0.0020362828582008974,0.0,0.001706684967627397,222700.0,1894300.0,7014212.31,186693186.0,VFH,IYF,Financials
2010-01-21,3.388787361585474,4.656053396302661,29.63,105.22,-0.02308,-0.024114,0.0,0.0,-0.0230794592812397,-0.02411426451493218,0.0,0.0010348052336924818,256000.0,4998200.0,7058140.5938461535,212786833.53846154,VFH,IYF,Financials
2010-01-22,3.3562000157314196,4.625560875635825,28.68,102.06,-0.032062,-0.030032,0.0,0.0,-0.0320620992237597,-0.030032313248431856,0.0,-0.0020297859753278455,357500.0,3876800.0,7286351.9799999995,225849646.0,VFH,IYF,Financials
2010-01-25,3.3624565533457247,4.63044799317236,28.86,102.56,0.006276,0.004899,0.0,0.0,0.006276150627615063,0.004899078973153047,0.0,0.0013770716544620155,211100.0,2923900.0,7206751.581333334,230784681.86666667,VFH,IYF,Financials
2010-01-26,3.3495531485098167,4.6155164780422355,28.49,101.04,-0.012821,-0.014821,0.0,0.0,-0.01282051282051282,-0.014820592823712828,0.0,0.0020000800032000075,177600.0,2278500.0,7072568.6075,230749366.75,VFH,IYF,Financials
2010-01-27,3.3703944725071104,4.635505385784164,29.09,103.08,0.02106,0.02019,0.0,0.0,0.02106002106002106,0.020190023752968994,0.0,0.0008699973070520652,228600.0,2535200.0,7047710.1011764705,232548134.3529412,VFH,IYF,Financials
2010-01-28,3.365224721203338,4.629862798578463,28.94,102.5,-0.005156,-0.005627,0.0,0.0,-0.005156411137848058,-0.005626697710516104,0.0,0.0004702865726680461,202300.0,3018600.0,6981424.095555555,236818043.55555555,VFH,IYF,Financials
2010-01-29,3.359680701459222,4.623991940228679,28.78,101.9,-0.005529,-0.005854,-8634000.0,71330000.0,-0.022744987719472528,0.06701570680628273,-79964000.0,-0.08976069452575526,175900.0,2552700.0,6880422.932631579,238044469.15789473,VFH,IYF,Financials
2010-02-01,3.3724549127965013,4.637250079451503,29.15,103.26,0.012856,0.013346,0.0,0.0,0.012856150104239055,0.013346418056918547,0.0,-0.0004902679526794917,114300.0,1554300.0,6702994.036,234167096.6,VFH,IYF,Financials
2010-02-02,3.380314170745731,4.646504049481068,29.38,104.22,0.00789,0.009297,0.0,0.0,0.007890222984562607,0.009296920395119116,0.0,-0.001406697410556509,172700.0,2017200.0,6625062.786,238568709.8,VFH,IYF,Financials
2010-02-03,3.3686741899565953,4.634923144137439,29.04,103.02,-0.011572,-0.011514,0.0,0.0,-0.011572498298162015,-0.011514104778353483,0.0,-5.839351980853162e-05,152600.0,1288400.0,6600859.986,237829932.8,VFH,IYF,Financials
2010-02-04,3.331489969237335,4.595321849933277,27.98,99.02,-0.036501,-0.038827,0.0,0.0,-0.03650137741046832,-0.03882741215298,0.0,0.0023260347425116817,193000.0,3108000.0,6613895.986,244112717.6,VFH,IYF,Financials
2010-02-05,3.3414473772563813,4.605770006060059,28.26,100.06,0.010007,0.010503,0.0,0.0,0.010007147962830594,0.01050292870127247,0.0,-0.0004957807384418766,554200.0,3844400.0,6956890.636,252223813.2,VFH,IYF,Financials
2010-02-08,3.321793358874887,4.58700621536042,27.71,98.2,-0.019462,-0.018589,0.0,0.0,-0.019462137296532202,-0.01858884669198481,0.0,-0.0008732906045473936,185600.0,1885600.0,7000865.336,253466140.8,VFH,IYF,Financials
2010-02-09,3.331489969237335,4.595725727160092,27.98,99.06,0.009744,0.008758,0.0,0.0,0.009743774810537712,0.008757637474541752,0.0,0.00098613733599596,249700.0,2499100.0,7108804.55,254925377.1,VFH,IYF,Financials
2010-02-10,3.339321977944068,4.602767301371781,28.2,99.76,0.007863,0.007066,0.0,0.0,0.007862759113652609,0.007066424389259035,0.0,0.0007963347243935739,200300.0,2338000.0,7205492.0,256727835.1,VFH,IYF,Financials
2010-02-11,3.343568268825519,4.6061696863211745,28.32,100.1,0.004255,0.003408,0.0,0.0,0.00425531914893617,0.003408179631114675,0.0,0.0008471395178214951,129100.0,1642200.0,6589932.2,253597504.3,VFH,IYF,Financials
