date,log_price_A,log_price_B,price_A,price_B,returns_A,returns_B,flow_A,flow_B,flow_pct_A,flow_pct_B,flow_diff,flow_diff_pct,volume_A,volume_B,adv_A,adv_B,symbol_A,symbol_B,sector
2010-01-04,3.5269485869677157,4.246636372564359,34.02,69.87,0.031222,0.030227,0.0,0.0,0.0,0.0,0.0,0.0,7567500.0,210200.0,257446350.00000003,14686674.000000002,XLB,VAW,Materials
2010-01-05,3.530176762918616,4.252629541187814,34.13,70.29,0.003233,0.006011,0.0,0.0,0.0032333921222810107,0.0060111635895234,0.0,-0.002777771467242389,8839200.0,114600.0,279564123.0,11370954.000000002,XLB,VAW,Materials
2010-01-06,3.547027829873695,4.266615783162554,34.71,71.28,0.016994,0.014085,0.0,0.0,0.01699384705537637,0.014084507042253402,0.0,0.002909340013122968,8091900.0,123100.0,279999365.0,10505492.000000002,XLB,VAW,Materials
2010-01-07,3.53921867955953,4.262257252536892,34.44,70.97,-0.007779,-0.004349,0.0,0.0,-0.007778738115816894,-0.0043490460157126825,0.0,-0.003429692100104211,5757200.0,66900.0,259569015.75,9066092.25,XLB,VAW,Materials
2010-01-08,3.5530597309714014,4.273048472104136,34.92,71.74,0.013937,0.01085,0.0,0.0,0.013937282229965285,0.010849654783711311,0.0,0.003087627446253974,4642400.0,71500.0,240077734.2,8278755.8,XLB,VAW,Materials
2010-01-11,3.5476038667559826,4.269697449699962,34.73,71.5,-0.005441,-0.003345,0.0,0.0,-0.0054410080183277315,-0.0033454139949817643,0.0,-0.002095594023345967,9108800.0,136700.0,252789549.16666666,8527971.5,XLB,VAW,Materials
2010-01-12,3.5284172316728752,4.250065437218876,34.07,70.11,-0.019004,-0.019441,0.0,0.0,-0.019003743161531694,-0.01944055944055944,0.0,0.00043681627902774495,13162100.0,111700.0,280738577.4285714,8428445.142857144,XLB,VAW,Materials
2010-01-13,3.540089380528774,4.259152536523347,34.47,70.75,0.011741,0.009129,0.0,0.0,0.011740534194305841,0.009128512337754956,0.0,0.002612021856550885,11943100.0,116800.0,297106087.375,8407839.5,XLB,VAW,Materials
2010-01-14,3.527830032595521,4.249780130512233,34.05,70.09,-0.012185,-0.009329,0.0,0.0,-0.01218450826805931,-0.00932862190812721,0.0,-0.0028558863599321,9615500.0,80100.0,300472941.5555556,8097436.111111111,XLB,VAW,Materials
2010-01-15,3.520460802488973,4.240463070352095,33.8,69.44,-0.007342,-0.009274,0.0,0.0,-0.007342143906020559,-0.009273790840348123,0.0,0.0019316469343275645,7605200.0,108100.0,296131223.4,8038338.9,XLB,VAW,Materials
