date,log_price_A,log_price_B,price_A,price_B,returns_A,returns_B,flow_A,flow_B,flow_pct_A,flow_pct_B,flow_diff,flow_diff_pct,volume_A,volume_B,adv_A,adv_B,symbol_A,symbol_B,sector
2010-01-04,3.343568268825519,4.681575517190497,28.32,107.94,0.019072,0.017726,0.0,0.0,0.0,0.0,0.0,0.0,7471400.0,46200.0,211590048.0,4986828.0,XLI,IYJ,Industrials
2010-01-05,3.3470931226689546,4.684350983862532,28.42,108.24,0.003531,0.002779,0.0,0.0,0.003531073446327796,0.0027793218454697055,0.0,0.0007517516008580904,8256600.0,64300.0,223121310.0,5973330.0,XLI,IYJ,Industrials
2010-01-06,3.349202086543775,4.686197024630465,28.48,108.44,0.002111,0.001848,0.0,0.0,0.002111189303307418,0.0018477457501847746,0.0,0.00026344355312264353,5356700.0,66400.0,199600478.66666666,6382358.666666667,XLI,IYJ,Industrials
2010-01-07,3.3600281046240843,4.69585148722686,28.79,109.492,0.010885,0.009701,0.0,0.0,0.010884831460674158,0.009701217263002581,0.0,0.0011836141976715765,12118100.0,86400.0,236920383.75,7151796.2,XLI,IYJ,Industrials
2010-01-08,3.3758795736778655,4.708268143991659,29.25,110.86,0.015978,0.012494,0.0,0.0,0.01597777005904828,0.012494063493223248,0.0,0.0034837065658250305,8064900.0,82100.0,236715972.0,7541758.159999999,XLI,IYJ,Industrials
2010-01-11,3.3867603338643857,4.715816706075155,29.57,111.7,0.01094,0.007577,0.0,0.0,0.01094017094017094,0.007577124300920079,0.0,0.003363046639250861,11895500.0,63700.0,255888299.16666666,7470680.133333333,XLI,IYJ,Industrials
2010-01-12,3.3786108829893595,4.706823839714591,29.33,110.7,-0.008116,-0.008953,0.0,0.0,-0.008116334122421373,-0.008952551477170993,0.0,0.0008362173547496205,12020700.0,96900.0,269699560.85714287,7935844.399999999,XLI,IYJ,Industrials
2010-01-13,3.3826939100975957,4.7125885827553615,29.45,111.34,0.004091,0.005781,0.0,0.0,0.004091374019774974,0.005781391147244806,0.0,-0.0016900171274698318,10978200.0,46600.0,276400614.5,7592419.35,XLI,IYJ,Industrials
2010-01-14,3.3826939100975957,4.71240893665769,29.45,111.32,0.0,-0.00018,0.0,0.0,0.0,-0.00017962996227770793,0.0,0.00017962996227770793,4762600.0,76500.0,261273720.66666666,7695037.199999999,XLI,IYJ,Industrials
2010-01-15,3.3697067145707846,4.699934762432514,29.07,109.94,-0.012903,-0.012397,0.0,0.0,-0.012903225806451613,-0.012396694214876033,0.0,-0.0005065315915755795,7250900.0,53300.0,256224714.9,7511513.68,XLI,IYJ,Industrials
2010-01-19,3.380654480430826,4.7104306966455844,29.39,111.1,0.011008,0.010551,0.0,0.0,0.011007911936704506,0.01055120975077315,0.0,0.0004567021859313569,11941300.0,94600.0,264836541.45454547,7784108.8,XLI,IYJ,Industrials
2010-01-20,3.365224721203338,4.69811393163083,28.94,109.74,-0.015311,-0.012241,0.0,0.0,-0.015311330384484519,-0.012241224122412242,0.0,-0.0030701062620722766,9810300.0,83300.0,266426003.16666666,7897211.566666666,XLI,IYJ,Industrials
2010-01-21,3.341801171705499,4.676373944994423,28.27,107.38,-0.023151,-0.021505,0.0,0.0,-0.023151347615756736,-0.021505376344086023,0.0,-0.0016459712716707132,17492800.0,120800.0,283971807.2307692,8287541.753846154,XLI,IYJ,Industrials
2010-01-22,3.326473835466219,4.658331734102323,27.84,105.46,-0.015211,-0.01788,0.0,0.0,-0.015210470463388751,-0.017880424660085676,0.0,0.002669954196696925,16216500.0,86200.0,295935775.28571427,8344906.771428571,XLI,IYJ,Industrials
2010-01-25,3.332918540908861,4.662495252607361,28.02,105.9,0.006466,0.004172,0.0,0.0,0.00646551724137931,0.00417219798975915,0.0,0.00229331925162016,12695400.0,55300.0,299921730.8,8178997.653333333,XLI,IYJ,Industrials
2010-01-26,3.32862668882732,4.659658371272161,27.9,105.6,-0.004283,-0.002833,0.0,0.0,-0.004282655246252677,-0.0028328611898017,0.0,-0.001449794056450977,12708100.0,96400.0,303336372.0,8304050.3,XLI,IYJ,Industrials
2010-01-27,3.331489969237335,4.662117466429842,27.98,105.86,0.002867,0.002462,0.0,0.0,0.002867383512544803,0.002462121212121212,0.0,0.00040526230042359094,22437800.0,84600.0,322423035.0588235,8342385.929411765,XLI,IYJ,Industrials
2010-01-28,3.319987326236612,4.647079589065301,27.66,104.28,-0.011437,-0.014925,0.0,0.0,-0.01143674052894925,-0.014925373134328358,0.0,0.003488632605379108,21371600.0,54500.0,337351669.5555556,8194656.711111112,XLI,IYJ,Industrials
2010-01-29,3.3098128198603027,4.637056374850413,27.38,103.24,-0.010123,-0.009973,-57498000.0,0.0,-0.037809946565553025,-0.009973149213655544,-57498000.0,-0.02783679735189748,17136100.0,153100.0,344290340.5263158,8595256.042105263,XLI,IYJ,Industrials
