date,log_price_A,log_price_B,price_A,price_B,returns_A,returns_B,flow_A,flow_B,flow_pct_A,flow_pct_B,flow_diff,flow_diff_pct,volume_A,volume_B,adv_A,adv_B,symbol_A,symbol_B,sector
2010-01-04,3.4534735262275262,4.006241680667128,31.61,54.94,0.01738,0.01384,0.0,0.0,0.0,0.0,0.0,0.0,5580800.0,76200.0,176409088.0,4186428.0,XLV,VHT,Healthcare
2010-01-05,3.4436180975461075,4.000033882750859,31.3,54.6,-0.009807,-0.006189,0.0,0.0,-0.009807023093957609,-0.006188569348380051,0.0,-0.003618453745577558,5428500.0,124000.0,173160569.0,5478414.0,XLV,VHT,Healthcare
2010-01-06,3.453789831781326,4.005695481290781,31.62,54.91,0.010224,0.005678,0.0,0.0,0.010223642172523962,0.0056776556776556774,0.0,0.0045459864948682845,4883500.0,33800.0,166912469.33333334,4270928.666666667,XLV,VHT,Healthcare
2010-01-07,3.4572626055951043,4.009149716158869,31.73,55.1,0.003479,0.00346,0.0,0.0,0.003478810879190386,0.0034602076124567475,0.0,1.8603266733638497e-05,6114700.0,30400.0,173689209.75,3621956.5,XLV,VHT,Healthcare
2010-01-08,3.45883716110857,4.012772908528289,31.78,55.3,0.001576,0.00363,0.0,0.0,0.001575795776867318,0.003629764065335753,0.0,-0.002053968288468435,4284800.0,35600.0,166185556.6,3291301.2,XLV,VHT,Healthcare
2010-01-11,3.464485120898074,4.017823424314358,31.96,55.58,0.005664,0.005063,0.0,0.0,0.005663939584644431,0.005063291139240506,0.0,0.0006006484454039243,4177600.0,37300.0,160740646.5,3088273.3333333335,XLV,VHT,Healthcare
2010-01-12,3.4572626055951043,4.01096295328305,31.73,55.2,-0.007196,-0.006837,0.0,0.0,-0.0071964956195244055,-0.006836991723641598,0.0,-0.0003595038958828078,5791400.0,31100.0,164029285.85714287,2892337.1428571427,XLV,VHT,Healthcare
2010-01-13,3.4704124506836282,4.0257087698319625,32.15,56.02,0.013237,0.014855,0.0,0.0,0.013236684525685471,0.014855072463768116,0.0,-0.0016183879380826452,8056100.0,35000.0,175901077.0,2775882.5,XLV,VHT,Healthcare
2010-01-14,3.479392229247212,4.03229183781909,32.44,56.39,0.00902,0.006605,0.0,0.0,0.009020217729393468,0.006604784005712246,0.0,0.0024154337236812224,7801300.0,50200.0,184475865.33333334,2781982.0,XLV,VHT,Healthcare
2010-01-15,3.472587377748828,4.026422545736642,32.22,56.06,-0.006782,-0.005852,0.0,0.0,-0.006781750924784217,-0.005852101436424898,0.0,-0.0009296494883593185,9692300.0,50700.0,197256869.4,2788008.0,XLV,VHT,Healthcare
2010-01-19,3.4965075614664802,4.046553898385752,33.0,57.2,0.024209,0.020335,0.0,0.0,0.024208566108007448,0.02033535497681056,0.0,0.003873211131196888,17753700.0,85400.0,232585526.72727272,2978632.727272727,XLV,VHT,Healthcare
2010-01-20,3.487986511734546,4.04006435530903,32.72,56.83,-0.008485,-0.006469,0.0,0.0,-0.008484848484848486,-0.006468531468531468,0.0,-0.0020163170163170173,16706100.0,77300.0,258755365.5,3096493.25,XLV,VHT,Healthcare
2010-01-21,3.4660483539817717,4.018183201256536,32.01,55.6,-0.021699,-0.021644,0.0,0.0,-0.02169926650366748,-0.021643498152384304,0.0,-5.5768351283177336e-05,15058400.0,59700.0,275929520.7692308,3113633.769230769,XLV,VHT,Healthcare
