date,log_price_A,log_price_B,price_A,price_B,returns_A,returns_B,flow_A,flow_B,flow_pct_A,flow_pct_B,flow_diff,flow_diff_pct,volume_A,volume_B,adv_A,adv_B,symbol_A,symbol_B,sector
2010-01-04,3.4011973816621555,5.410216459045445,30.0,223.68,0.007726,0.007749,0.0,0.0,0.0,0.0,0.0,0.0,5443800.0,49100.0,163314000.0,10982688.0,XLY,IYC,Consumer Discretionary
2010-01-05,3.4048573424936426,5.412003130951853,30.11,224.08,0.003667,0.001788,0.0,0.0,0.0036666666666666666,0.00178826895565093,0.0,0.0018783977110157367,6162100.0,25500.0,174427415.5,8348364.0,XLY,IYC,Consumer Discretionary
2010-01-06,3.4061849231731944,5.410395269953387,30.15,223.72,0.001328,-0.001607,0.0,0.0,0.001328462304882099,-0.0016065690824705462,0.0,0.002935031387352645,4246800.0,36600.0,158965283.66666666,8294960.0,XLY,IYC,Consumer Discretionary
2010-01-07,3.414442608412176,5.417521614026513,30.4,225.32,0.008292,0.007152,0.0,0.0,0.008291873963515755,0.007151796888968353,0.0,0.0011400770745474019,5736600.0,34500.0,162822122.75,8164605.0,XLY,IYC,Consumer Discretionary
2010-01-08,3.414113606928702,5.417166500386418,30.39,225.24,-0.000329,-0.000355,0.0,0.0,-0.0003289473684210526,-0.0003550505947097461,0.0,2.610322628869349e-05,6438000.0,26000.0,169387862.2,7702932.0,XLY,IYC,Consumer Discretionary
2010-01-11,3.41213732170049,5.4169888962655355,30.33,225.2,-0.001974,-0.000178,0.0,0.0,-0.0019743336623889436,-0.0001775883502042266,0.0,-0.001796745312184717,4173400.0,35500.0,162253088.83333334,7751543.333333333,XLY,IYC,Consumer Discretionary
2010-01-12,3.3991953789914824,5.407351127572159,29.94,223.04,-0.012859,-0.009591,0.0,0.0,-0.012858555885262116,-0.009591474245115453,0.0,-0.003267081640146663,5473300.0,455800.0,162484162.14285713,21167270.285714287,XLY,IYC,Consumer Discretionary
2010-01-13,3.410487428569248,5.4180540481503705,30.28,225.44,0.011356,0.01076,0.0,0.0,0.011356045424181697,0.010760401721664276,0.0,0.0005956437025174208,4615800.0,71100.0,159644444.875,20524959.5,XLY,IYC,Consumer Discretionary
2010-01-14,3.410487428569248,5.416455894565078,30.28,225.08,0.0,-0.001597,0.0,0.0,0.0,-0.001596877217885025,0.0,0.001596877217885025,5640300.0,49300.0,160882649.2222222,19477346.666666668,XLY,IYC,Consumer Discretionary
2010-01-15,3.4005304926744517,5.40860572044216,29.98,223.32,-0.009908,-0.007819,0.0,0.0,-0.009907529722589167,-0.007819441976186245,0.0,-0.0020880877464029227,5889400.0,51400.0,162450805.5,18677476.8,XLY,IYC,Consumer Discretionary
2010-01-19,3.4137844971676268,5.418408846805857,30.38,225.52,0.013342,0.009851,0.0,0.0,0.0133422281521014,0.009851334408024359,0.0,0.0034908937440770414,4418500.0,26000.0,159885644.0909091,17512571.636363637,XLY,IYC,Consumer Discretionary
2010-01-20,3.4001968813285717,5.410931510917171,29.97,223.84,-0.013496,-0.007449,0.0,0.0,-0.013495720868992759,-0.007449450159631075,0.0,-0.006046270709361684,5028100.0,39300.0,159119520.16666666,16786266.666666668,XLY,IYC,Consumer Discretionary
2010-01-21,3.3874364664121184,5.400332291954767,29.59,221.48,-0.012679,-0.010543,0.0,0.0,-0.012679346012679346,-0.01054324517512509,0.0,-0.002136100837554257,6786500.0,51300.0,162326675.15384614,16369009.538461538,XLY,IYC,Consumer Discretionary
2010-01-22,3.367985247456042,5.386877543527517,29.02,218.52,-0.019263,-0.013365,0.0,0.0,-0.01926326461642447,-0.013364637890554452,0.0,-0.0058986267258700174,10092000.0,23500.0,171651186.92857143,15566596.0,XLY,IYC,Consumer Discretionary
2010-01-25,3.37314078387963,5.387426541619813,29.17,218.64,0.005169,0.000549,0.0,0.0,0.005168849069607168,0.0005491488193300384,0.0,0.00461970025027713,5311600.0,36300.0,170537065.93333334,15057931.733333332,XLY,IYC,Consumer Discretionary
2010-01-26,3.3745111163996495,5.389071729816501,29.21,219.0,0.001371,0.001647,0.0,0.0,0.0013712718546451835,0.001646542261251372,0.0,-0.0002752704066061886,5506900.0,40700.0,169932033.625,14673892.25,XLY,IYC,Consumer Discretionary
2010-01-27,3.3762213955919784,5.389071729816501,29.26,219.0,0.001712,0.0,0.0,0.0,0.0017117425539198905,0.0,0.0,0.0017117425539198905,7041700.0,31100.0,172056040.0,14211363.294117646,XLY,IYC,Consumer Discretionary
2010-01-28,3.3703944725071104,5.381738974687109,29.09,217.4,-0.00581,-0.007306,0.0,0.0,-0.00580997949419002,-0.0073059360730593605,0.0,0.0014959565788693402,6292600.0,24700.0,172666911.8888889,13720164.222222222,XLY,IYC,Consumer Discretionary
2010-01-29,3.364187556028255,5.37860619777684,28.91,216.72,-0.006188,-0.003128,-8673000.0,-43344000.0,-0.012284701381580752,-0.07187767661707324,34671000.0,0.05959297523549249,7362900.0,41000.0,174782413.31578946,13465709.263157895,XLY,IYC,Consumer Discretionary
2010-02-01,3.3769046890931107,5.389984555073861,29.28,219.2,0.012798,0.011443,0.0,0.0,0.012798339674852992,0.011443337024732374,0.0,0.001355002650120618,8877000.0,333500.0,179039220.65,16447583.8,XLY,IYC,Consumer Discretionary
2010-02-02,3.3908102887756684,5.4006934331649035,29.69,221.56,0.014003,0.010766,0.0,0.0,0.014002732240437158,0.010766423357664234,0.0,0.0032363088827729244,5493700.0,26200.0,179028918.3,16188693.0,XLY,IYC,Consumer Discretionary
2010-02-03,3.391483689474516,5.397981689660982,29.71,220.96,0.000674,-0.002708,0.0,0.0,0.0006736274840013472,-0.002708070048745261,0.0,0.003381697532746608,4863400.0,27900.0,176976457.45,16211230.2,XLY,IYC,Consumer Discretionary
2010-02-04,3.3621099929541085,5.369148547308628,28.85,214.68,-0.028946,-0.028422,0.0,0.0,-0.028946482665769102,-0.02842143374366401,0.0,-0.0005250489221050904,10126200.0,34300.0,185181449.95,16169998.8,XLY,IYC,Consumer Discretionary
2010-02-05,3.3593331775634567,5.368029978959337,28.77,214.44,-0.002773,-0.001118,0.0,0.0,-0.0027729636048526864,-0.0011179429849077697,0.0,-0.0016550206199449167,8303900.0,76000.0,188406978.1,16596193.8,XLY,IYC,Consumer Discretionary
2010-02-08,3.3530570063342204,5.3648538903482805,28.59,213.76,-0.006257,-0.003171,0.0,0.0,-0.006256517205422315,-0.003171050177205745,0.0,-0.00308546702821657,6376800.0,55000.0,187740072.7,16891221.8,XLY,IYC,Consumer Discretionary
2010-02-09,3.3683297780365384,5.376943687003227,29.03,216.36,0.01539,0.012163,0.0,0.0,0.015389996502273523,0.012163173652694611,0.0,0.0032268228495789114,6904900.0,77900.0,191433573.95,17334214.0,XLY,IYC,Consumer Discretionary
2010-02-10,3.364187556028255,5.3745373924594455,28.91,215.84,-0.004134,-0.002403,0.0,0.0,-0.004133654839820875,-0.0024034017378443337,0.0,-0.001730253101976541,5566200.0,229100.0,191285985.95,14723579.6,XLY,IYC,Consumer Discretionary
2010-02-11,3.3758795736778655,5.383760848365505,29.25,217.84,0.011761,0.009266,0.0,0.0,0.01176063645797302,0.009266123054114159,0.0,0.0024945134038588616,5827500.0,208400.0,192820383.5,16192033.2,XLY,IYC,Consumer Discretionary
2010-02-12,3.3758795736778655,5.383393538903156,29.25,217.76,0.0,-0.000367,0.0,0.0,0.0,-0.0003672420124862284,0.0,0.0003672420124862284,6334400.0,22700.0,193545029.3,15884368.6,XLY,IYC,Consumer Discretionary
2010-02-16,3.391820219849558,5.399428867916448,29.72,221.28,0.016068,0.016165,0.0,0.0,0.016068376068376067,0.016164584864070537,0.0,-9.620879569446905e-05,4520900.0,159900.0,191434876.1,17079569.8,XLY,IYC,Consumer Discretionary
2010-02-17,3.3998631586490187,5.409142921636922,29.96,223.44,0.008075,0.009761,0.0,0.0,0.008075370121130552,0.009761388286334056,0.0,-0.0016860181652035046,4630800.0,43700.0,191660113.0,17274610.2,XLY,IYC,Consumer Discretionary
2010-02-18,3.4061849231731944,5.412895271255472,30.15,224.28,0.006342,0.003759,0.0,0.0,0.006341789052069426,0.0037593984962406013,0.0,0.0025823905558288243,5917600.0,21600.0,193046287.15,17076987.0,XLY,IYC,Consumer Discretionary
