pair,symbol_a,symbol_b,n_days,quality_score,mean_correlation,correlation_stability,cointegrated,cointegration_pvalue,spread_stationary,adf_pvalue,stationarity_score,data_quality_score,correlation_score,cointegration_score,rank
XLRE-IYR,XLRE,IYR,2323,98.71549536526135,0.9829623814635478,0.9824857606816256,True,0.0,False,1.0,,20,28.97239629220908,30.0,1
XLRE-VNQ,XLRE,VNQ,2323,98.41225401514005,0.9773182101297357,0.9798856678862818,True,0.0,False,1.0,,20,28.72980321211205,30.0,2
XLB-VAW,XLB,VAW,3774,69.53125501901346,0.9894748978405518,0.9948460233289059,False,0.05809056760070033,True,0.0,20.0,20,29.53125501901345,,3
XLC-VOX,XLC,VOX,1645,69.41802975166472,0.9867783993455606,0.9937398228138151,False,0.9348224788610242,True,0.0,20.0,20,29.418029751664722,,4
XLV-VHT,XLV,VHT,3774,69.30781621534682,0.9860813455236597,0.9907166499123143,False,0.5843005805524342,True,0.0,20.0,20,29.307816215346822,,5
VAW-IYM,VAW,IYM,3774,69.29574377419814,0.9846406247598887,0.991757569124678,False,0.3187690249913617,True,0.0,20.0,20,29.295743774198144,,6
VFH-IYF,VFH,IYF,3774,69.27011920715736,0.9868144208546827,0.9887073188427342,False,0.9798228755784328,True,0.0,20.0,20,29.270119207157368,,7
VIS-IYJ,VIS,IYJ,3774,69.26210979497162,0.9858170217611955,0.9894368207294653,False,0.967959557064344,True,0.0,20.0,20,29.262109794971618,,8
XLF-IYF,XLF,IYF,3774,69.14737230813095,0.9831819515947138,0.9881986496617482,False,0.9099519006179674,True,0.0,20.0,20,29.14737230813095,,9
XLB-IYM,XLB,IYM,3774,69.11336303066876,0.9801461561661143,0.9901027803359107,False,0.22890188993798566,True,0.0,20.0,20,29.113363030668765,,10
XLI-IYJ,XLI,IYJ,3774,69.03869256848326,0.9805867312645534,0.9871196377511414,False,0.96792474712898,True,0.0,20.0,20,29.038692568483256,,11
VCR-IYC,VCR,IYC,3774,68.57006375213835,0.9738184074124808,0.9779394712152226,False,0.9512207017961948,True,0.0,20.0,20,28.570063752138353,,12
XLY-IYC,XLY,IYC,3774,68.53758479422423,0.9728022507462597,0.9778480937358155,False,0.9587157663035943,True,0.0,20.0,20,28.537584794224227,,13
XLE-XOP,XLE,XOP,3774,67.06364554575337,0.9240035925238935,0.9763181934473392,False,0.48011764011185104,True,0.0,20.0,20,27.06364554575337,,14
VDC-IYK,VDC,IYK,3774,66.20194113022978,0.9267187437116956,0.9424629032279965,False,0.9917870069836283,True,0.0,20.0,20,26.201941130229788,,15
XLF-KBE,XLF,KBE,3774,65.9092437335328,0.906789321763331,0.9524168812497708,False,0.9301730273721283,True,0.0,20.0,20,25.9092437335328,,16
XLI-IYT,XLI,IYT,3774,65.67441308107652,0.8907128135336403,0.9608189714640217,False,1.0,True,0.0,20.0,20,25.674413081076516,,17
XLP-IYK,XLP,IYK,3774,65.64407482459188,0.9136071954146476,0.9356345904928038,False,0.9883550291493959,True,0.0,20.0,20,25.644074824591886,,18
XLK-IGV,XLK,IGV,3774,65.44217412050816,0.8839160401916903,0.9594491242626261,False,1.0,True,0.0,20.0,20,25.442174120508163,,19
XLK-SOXX,XLK,SOXX,3774,64.7362612720058,0.8621074409811074,0.956426082417102,False,0.9904694966928962,True,0.0,20.0,20,24.736261272005805,,20
XLF-KRE,XLF,KRE,3774,64.44495287203453,0.8657301834324926,0.9412075240006803,False,0.984002802760251,True,0.0,20.0,20,24.444952872034534,,21
VOX-IYZ,VOX,IYZ,3774,62.65463474697705,0.8645666104243828,0.8734485954705392,False,1.0,True,0.0,20.0,20,22.65463474697706,,22
XLV-IBB,XLV,IBB,3774,61.979406974048146,0.7987808636802811,0.9172063734218181,False,0.8013925192846107,True,0.0,20.0,20,21.979406974048146,,23
XLC-IYZ,XLC,IYZ,1645,58.83820763103862,0.720147245253552,0.871960919807263,False,0.9844645618018736,True,0.0,20.0,20,18.838207631038614,,24
XLI-VIS,XLI,VIS,3774,57.41317554990866,0.9918055098314024,0.9971851289243122,True,0.020978040750152235,True,0.0,20.0,20,,17.413175549908658,25
XLU-IDU,XLU,IDU,3774,40.0,0.9929124142652451,0.9959891395248073,False,0.7788103556991106,True,0.0,20.0,20,,,26
VNQ-IYR,VNQ,IYR,3774,40.0,0.9906934838581126,0.9939820039958404,False,0.7861966633767357,True,0.0,20.0,20,,,27
VPU-IDU,VPU,IDU,3774,40.0,0.9961848974908066,0.9982801248814233,False,0.7664204171062474,True,0.0,20.0,20,,,28
XLE-VDE,XLE,VDE,3774,40.0,0.9961135763758872,0.9986324142467312,False,0.526235377863673,True,0.0,20.0,20,,,29
XLU-VPU,XLU,VPU,3774,40.0,0.993649648600001,0.9963365641397307,False,0.5220440051993434,True,0.0,20.0,20,,,30
XLP-VDC,XLP,VDC,3774,40.0,0.9912631894661013,0.9967585684751598,False,0.6769152336962472,True,0.0,20.0,20,,,31
XLE-IYE,XLE,IYE,3774,40.0,0.9957015349204528,0.9977622600132903,False,0.8429426384738661,True,0.0,20.0,20,,,32
XLY-VCR,XLY,VCR,3774,40.0,0.9900080602833093,0.9925474903540003,False,0.5232697848933311,True,0.0,20.0,20,,,33
VHT-IYH,VHT,IYH,3774,40.0,0.9938275362087339,0.9960818347658539,False,0.986885516858081,True,0.0,20.0,20,,,34
XLV-IYH,XLV,IYH,3774,40.0,0.9919027466633772,0.9962520633430612,False,0.9890106721869338,True,0.0,20.0,20,,,35
XLF-VFH,XLF,VFH,3774,40.0,0.9921783247910682,0.9964248027458248,False,0.4900757458894923,True,0.0,20.0,20,,,36
FTEC-VGT,FTEC,VGT,2815,40.0,0.9980723060919029,0.9986588426851141,False,0.9066114174739806,True,0.0,20.0,20,,,37
XLK-VGT,XLK,VGT,3774,40.0,0.99080824256904,0.9945135072026062,False,0.7702961661082992,True,0.0,20.0,20,,,38
XLK-FTEC,XLK,FTEC,2815,40.0,0.9915873964402719,0.9944554197342523,False,0.8499115061978678,True,0.0,20.0,20,,,39
VDE-IYE,VDE,IYE,3774,40.0,0.9967660869421696,0.9978705327206246,False,0.8714696338990275,True,0.0,20.0,20,,,40
XLV-XBI,XLV,XBI,3774,40.0,0.67110889074244,0.8749711750360959,False,0.8037500082376481,True,0.0,20.0,20,,,41
